BBQ Factory,Gurgaon,1400,Yes,3,3.9
Faaso's,Gurgaon,600,Yes,2,3.6
Chaayos,Gurgaon,400,Yes,1,4.3
Mosaic - Country Inn & Suites,Gurgaon,1500,No,3,3.8
60 ML - Country Inn & Suites by Carlson,Gurgaon,1000,No,3,3
Mosaic - Country Inn & Suites by Carlson,Gurgaon,1800,No,3,3.5
Big Shot Bar - Country Inn & Suites,Gurgaon,2200,No,4,3.5
Mosaic - Country Inn & Suites By Carlson,Gurgaon,1300,No,3,3.4
Downtown Kitchen & Bar - Courtyard by Marriott,Gurgaon,2700,No,4,3.2
Courtyard Grill - Courtyard by Marriott,Gurgaon,2500,No,4,0
Di Ghent Boulangerie,Gurgaon,1700,No,3,3.9
Khyen Chyen,Gurgaon,800,Yes,2,3.7
The Pint Room,Gurgaon,1700,No,3,3.7
Tughlaq,Gurgaon,1000,Yes,3,3.5
Big Wong XL,Gurgaon,1500,Yes,3,4
Bunker,Gurgaon,1300,No,3,4.2
Culture Cafe,Gurgaon,1500,Yes,3,4.2
Nowhere Terrace Brewpub Cafe,Gurgaon,1600,No,3,4.1
Cafe G - Crowne Plaza,Gurgaon,3500,No,4,3.9
Wildfire - Crowne Plaza,Gurgaon,5000,No,4,3.7
Isabella,Gurgaon,700,Yes,2,2.8
Fatburger,Gurgaon,1000,Yes,3,3.3
Burma Burma,Gurgaon,1500,No,3,4.6
Pier 38,Gurgaon,1200,No,3,4.6
Yum Yum Cha,Gurgaon,1800,No,3,4.5
Amici Cafe,Gurgaon,1200,Yes,3,3.7
Au Bon Pain,Gurgaon,600,Yes,2,3.7
California Pizza Kitchen,Gurgaon,2500,Yes,4,3.7
Chai Point,Gurgaon,200,Yes,1,3.7
Cherry Comet,Gurgaon,400,Yes,1,3.6
Circus,Gurgaon,1250,No,3,3.9
Dunkin' Donuts,Gurgaon,600,Yes,2,3.8
Holy Smoke,Gurgaon,1800,No,3,3.6
Italiano,Gurgaon,1500,No,3,3.6
Krispy Kreme,Gurgaon,350,Yes,1,3.9
Not Just Paranthas,Gurgaon,1100,No,3,3.6
Oh! Calcutta,Gurgaon,1700,Yes,3,3.8
Olive Bistro,Gurgaon,2000,No,4,3.9
Pita Pit,Gurgaon,600,Yes,2,3.9
Raasta,Gurgaon,2000,Yes,4,3.8
Red Mango,Gurgaon,700,Yes,2,3.6
Rred Hot Asian Bistro,Gurgaon,1400,Yes,3,3.5
Smaaash,Gurgaon,1400,No,3,3.9
Starbucks,Gurgaon,700,No,2,3.9
Sutra Gastropub,Gurgaon,2300,No,4,3.8
Taco Bell,Gurgaon,550,Yes,2,3.8
The People & Co.,Gurgaon,1700,No,3,3.7
Theobroma,Gurgaon,600,Yes,2,3.8
Wendy's,Gurgaon,400,Yes,1,3.9
The Wine Company,Gurgaon,2000,No,4,2.4
Cafe Delhi Heights,Gurgaon,2000,No,4,4
Cyber Hub Social,Gurgaon,1500,Yes,3,4.3
Delifrance - The France Cafe Bakery,Gurgaon,800,Yes,2,4
Dhaba By Claridges,Gurgaon,2000,Yes,4,4
Farzi Cafe,Gurgaon,2200,No,4,4.3
Hard Rock Cafe,Gurgaon,2500,No,4,4.1
Instapizza,Gurgaon,900,Yes,2,4
Made In Punjab,Gurgaon,1500,No,3,4
Nando's,Gurgaon,1200,Yes,3,4
Quaff,Gurgaon,1750,No,3,4.1
SodaBottleOpenerWala,Gurgaon,1300,No,3,4
The Grill Mill,Gurgaon,1500,No,3,4
Knight Rider,Gurgaon,1200,No,3,3.1
Chaayos,Gurgaon,400,Yes,1,3.8
Nooba,Gurgaon,1500,No,3,3.8
Domino's Pizza,Gurgaon,700,No,2,2.4
Indigo Delicatessen,Gurgaon,1800,Yes,3,4.2
Escape Terrace Bar Kitchen,Gurgaon,1700,No,3,3.4
Kwaliti,Gurgaon,700,Yes,2,3.3
Subway,Gurgaon,500,No,2,2.5
Burger Point,Gurgaon,300,Yes,1,3.8
Chaat Chowk,Gurgaon,350,Yes,1,3.7
Chef Style,Gurgaon,700,Yes,2,3.8
Delhicacy,Gurgaon,350,Yes,1,3.8
Dimsum & Co.,Gurgaon,650,Yes,2,3.9
Instapizza,Gurgaon,900,Yes,2,3.6
L'Opera,Gurgaon,400,Yes,1,3.8
Lazeez Food,Gurgaon,800,Yes,2,3.5
Le Marche Sugar & Spice Cafe,Gurgaon,700,No,2,3.5
The Breakfast Club,Gurgaon,500,Yes,2,3.5
Sugar & Spice - Le Marche,Gurgaon,800,No,2,2.4
Crudo Juicery,Gurgaon,400,Yes,1,4.3
Fork with Stick,Gurgaon,800,Yes,2,4
Uptown Fresh Beer Cafe,Gurgaon,2500,No,4,4.1
